date,銘柄名,コード,業種,TOPIXに占める個別銘柄のウエイト,ニューインデックス区分,code
,トレードワークス,3997,,,,39970
,すららネット,3998,,,,39980
,ヘッドウォータース,4011,,,,40110
,アクシス,4012,,,,40120
,勤次郎,4013,,,,40130
,カラダノート,4014,,,,40140
,ペイクラウドＨＬＤＧ,4015,,,,40150
,ＭＩＴ　ＨＬＤＧ,4016,,,,40160
,クリーマ,4017,,,,40170
,スタメン,4019,,,,40190
,ビートレンド,4020,,,,40200
,神島化学工業,4026,,,,40260
,アクセルスペースＨＬＤＧ,402A,,,,402A0
,片倉コープアグリ,4031,,,,40310
,南海化学,4040,,,,40400
,ＧＭＯ　フィナンシャルゲート,4051,,,,40510
,フィーチャ,4052,,,,40520
,日本情報クリエイト,4054,,,,40540
,ティアンドエスグループ,4055,,,,40550
,ニューラルグループ,4056,,,,40560
,インターファクトリー,4057,,,,40570
,トヨクモ,4058,,,,40580
,まぐまぐ,4059,,,,40590
,ｒａｋｕｍｏ,4060,,,,40600
,ベイシス,4068,,,,40680
,ＢｌｕｅＭｅｍｅ,4069,,,,40690
,ジィ・シィ企画,4073,,,,40730
,ラキール,4074,,,,40740
,ブレインズテクノロジー,4075,,,,40750
,シイエヌエス,4076,,,,40760
,田中化学研究所,4080,,,,40800
,東邦アセチレン,4093,,,,40930
,日本化学産業,4094,,,,40940
,チタン工業,4098,,,,40980
,丸尾カルシウム,4102,,,,41020
,伊勢化学工業,4107,,,,41070
,田岡化学工業,4113,,,,41130
,日本ピグメントＨＬＤＧ,4119,,,,41190
,スガイ化学工業,4120,,,,41200
,大阪油化工業,4124,,,,41240
,三和油化工業,4125,,,,41250
,プレイド,4165,,,,41650
,かっこ,4166,,,,41660
,ココペリ,4167,,,,41670
,ヤプリ,4168,,,,41680
,ＥＮＥＣＨＡＮＧＥ,4169,,,,41690
,Ｋａｉｚｅｎ　Ｐｌａｔｆｏｒｍ,4170,,,,41700
,グローバルインフォメーション,4171,,,,41710
,東和ハイシステム,4172,,,,41720
,アピリッツ,4174,,,,41740
,ｃｏｌｙ,4175,,,,41750
,ココナラ,4176,,,,41760
,Ｉ−ＰＬＵＧ,4177,,,,41770
,Ｓｈａｒｉｎｇ　Ｉｎｎｏｖａｔ,4178,,,,41780
,ジーネクスト,4179,,,,41790
,スパイダープラス,4192,,,,41920
,ファブリカＨＬＤＧ,4193,,,,41930
,ネオマーケティング,4196,,,,41960
,アスマーク,4197,,,,41970
,テンダ,4198,,,,41980
,ワンダープラネット,4199,,,,41990
,児玉化学工業,4222,,,,42220
,ロンシール工業,4224,,,,42240
,タイガースポリマー,4231,,,,42310
,サンエー化研,4234,,,,42340
,ウルトラファブリックスＨＬＤＧ,4235,,,,42350
,フジプレアム,4237,,,,42370
,ミライアル,4238,,,,42380
,クラスターテクノロジー,4240,,,,42400
,アテクト,4241,,,,42410
,タカギセイコー,4242,,,,42420
,ニックス,4243,,,,42430
,ダイキアクシス,4245,,,,42450
,ポバール興業,4247,,,,42470
,竹本容器,4248,,,,42480
,ＴＨＥＣＯＯ,4255,,,,42550
,サインド,4256,,,,42560
,網屋,4258,,,,42580
,エクサウィザーズ,4259,,,,42590
,ハイブリッドテクノロジーズ,4260,,,,42600
,アジアクエスト,4261,,,,42610
,ニフティライフスタイル,4262,,,,42620
,サスメド,4263,,,,42630
,セキュア,4264,,,,42640
,Ｉｎｓｔｉｔｕｔｉｏｎ　ｆｏｒ,4265,,,,42650
,ＢｅｅＸ,4270,,,,42700
,細谷火工,4274,,,,42740
,ソルクシーズ,4284,,,,42840
,ジャストプランニング,4287,,,,42870
,アズジェント,4288,,,,42880
,セプテーニＨＬＤＧ,4293,,,,42930
,Ｊストリーム,4308,,,,43080
,ビーマップ,4316,,,,43160
,レイ,4317,,,,43170
,ＴＡＣ,4319,,,,43190
,ＣＥ　ＨＬＤＧ,4320,,,,43200
,ユークス,4334,,,,43340
,ＩＰＳ　ＨＬＤＧ,4335,,,,43350
,西菱電機,4341,,,,43410
,ＮＥＸＹＺ．Ｇｒｏｕｐ,4346,,,,43460
,ブロードメディア,4347,,,,43470
,山田再生系債権回収総合事務所,4351,,,,43510
,応用技術,4356,,,,43560
,マナック・ケミカル・パートナー,4360,,,,43600
,川口化学工業,4361,,,,43610
,松本油脂製薬,4365,,,,43650
,ダイトーケミックス,4366,,,,43660
,広栄化学,4367,,,,43670
,モビルス,4370,,,,43700
,コアコンセプト・テクノロジー,4371,,,,43710
,ユミルリンク,4372,,,,43720
,ＲＯＢＯＴ ＰＡＹＭＥＮＴ,4374,,,,43740
,セーフィー,4375,,,,43750
,くふうカンパニーＨＬＤＧ,4376,,,,43760
,ワンキャリア,4377,,,,43770
,ＣＩＮＣ,4378,,,,43780
,Ｐｈｏｔｏｓｙｎｔｈ,4379,,,,43790
,Ｍマート,4380,,,,43800
,ビープラッツ,4381,,,,43810
,ＳＩＧグループ,4386,,,,43860
,ＺＵＵ,4387,,,,43870
,エーアイ,4388,,,,43880
,プロパティデータバンク,4389,,,,43890
,ロジザード,4391,,,,43910
,ＦＩＧ,4392,,,,43920
,バンク・オブ・イノベーション,4393,,,,43930
,エクスモーション,4394,,,,43940
,アクリート,4395,,,,43950
,チームスピリット,4397,,,,43970
,ブロードバンドセキュリティ,4398,,,,43980
,ミヨシ油脂,4404,,,,44040
,新日本理化,4406,,,,44060
,東邦化学工業,4409,,,,44090
,サイエンスアーツ,4412,,,,44120
,フレクト,4414,,,,44140
,ブロードエンタープライズ,4415,,,,44150
,Ｔｒｕｅ　Ｄａｔａ,4416,,,,44160
,グローバルセキュリティエキスパ,4417,,,,44170
,ＪＤＳＣ,4418,,,,44180
,ＦｉｎａｔｅｘｔＨＬＤＧ,4419,,,,44190
,ディ・アイ・システム,4421,,,,44210
,ＶＡＬＵＥＮＥＸ,4422,,,,44220
,Ａｍａｚｉａ,4424,,,,44240
,Ｋｕｄａｎ,4425,,,,44250
,ＥｄｕＬａｂ,4427,,,,44270
,シノプス,4428,,,,44280
,リックソフト,4429,,,,44290
,東海ソフト,4430,,,,44300
,スマレジ,4431,,,,44310
,ミンカブ・ジ・インフォノイド,4436,,,,44360
,ｇｏｏｄｄａｙｓ　ＨＬＤＧ,4437,,,,44370
,Ｗｅｌｂｙ,4438,,,,44380
,東名,4439,,,,44390
,ヴィッツ,4440,,,,44400
,トビラシステムズ,4441,,,,44410
,バルテス・ＨＬＤＧ,4442,,,,44420
,インフォネット,4444,,,,44440
,リビン・テクノロジーズ,4445,,,,44450
,Ｌｉｎｋ−Ｕグループ,4446,,,,44460
,ピー・ビーシステムズ,4447,,,,44470
,ｋｕｂｅｌｌ,4448,,,,44480
,パワーソリューションズ,4450,,,,44500
,日華化学,4463,,,,44630
,ソフト９９コーポレーション,4464,,,,44640
,ニイタカ,4465,,,,44650
,ＨＥＮＮＧＥ,4475,,,,44750
,ＡＩ　ＣＲＯＳＳ,4476,,,,44760
,ＢＡＳＥ,4477,,,,44770
,フリー,4478,,,,44780
,マクアケ,4479,,,,44790
,ウィルズ,4482,,,,44820
,ランサーズ,4484,,,,44840
,ユナイトアンドグロウ,4486,,,,44860
,スペースマーケット,4487,,,,44870
,ＡＩ　ｉｎｓｉｄｅ,4488,,,,44880
,ビザスク,4490,,,,44900
,コンピューターマネージメント,4491,,,,44910
,ゼネテック,4492,,,,44920
,サイバーセキュリティクラウド,4493,,,,44930
,バリオセキュア,4494,,,,44940
,アイキューブドシステムズ,4495,,,,44950
,コマースＯｎｅ　ＨＬＤＧ,4496,,,,44960
,サイバートラスト,4498,,,,44980
,Ｓｐｅｅｅ,4499,,,,44990
,わかもと製薬,4512,,,,45120
,森下仁丹,4524,,,,45240
,有機合成薬品工業,4531,,,,45310
,日本ケミファ,4539,,,,45390
,カイノス,4556,,,,45560
,中京医薬品,4558,,,,45580
,アンジェス,4563,,,,45630
,オンコセラピー・サイエンス,4564,,,,45640
,免疫生物研究所,4570,,,,45700
,ＮＡＮＯ　ＭＲＮＡ,4571,,,,45710
,カルナバイオサイエンス,4572,,,,45720
,キャンバス,4575,,,,45750
,デ・ウエスタン・セラピテクス,4576,,,,45760
,ラクオリア創薬,4579,,,,45790
,シンバイオ製薬,4582,,,,45820
,カイオム・バイオサイエンス,4583,,,,45830
,キッズウェル・バイオ,4584,,,,45840
,メドレックス,4586,,,,45860
,オンコリスバイオファーマ,4588,,,,45880
,リボミック,4591,,,,45910
,サンバイオ,4592,,,,45920
,ヘリオス,4593,,,,45930
,ブライトパス・バイオ,4594,,,,45940
,ミズホメディー,4595,,,,45950
,窪田製薬ＨＬＤＧ,4596,,,,45960
,ソレイジア・ファーマ,4597,,,,45970
,Ｄｅｌｔａ―Ｆｌｙ　Ｐｈａｒｍ,4598,,,,45980
,ステムリム,4599,,,,45990
,神東塗料,4615,,,,46150
,川上塗料,4616,,,,46160
,日本特殊塗料,4619,,,,46190
,アサヒペン,4623,,,,46230
,イサム塗料,4624,,,,46240
,アトミクス,4625,,,,46250
,ナトコ,4627,,,,46270
,エスケー化研,4628,,,,46280
,大伸化学,4629,,,,46290
,東京インキ,4635,,,,46350
,オリジナル設計,4642,,,,46420
,イマジニア,4644,,,,46440
,市進ＨＬＤＧ,4645,,,,46450
,ＳＤエンターテイメント,4650,,,,46500
,環境管理センター,4657,,,,46570
,エイジス,4659,,,,46590
,アール・エス・シー,4664,,,,46640
,アイサンテクノロジー,4667,,,,46670
,川崎地質,4673,,,,46730
,秀英予備校,4678,,,,46780
,田谷,4679,,,,46790
,菱友システムズ,4685,,,,46850
,日本パレットプール,4690,,,,46900
,ワシントンホテル,4691,,,,46910
,クリップコーポレーション,4705,,,,47050
,キタック,4707,,,,47070
,ＫｅｙＨｏｌｄｅｒ,4712,,,,47120
,城南進学研究社,4720,,,,47200
,トーセ,4728,,,,47280
,京進,4735,,,,47350
,日本ラッド,4736,,,,47360
,ダイサン,4750,,,,47500
,昭和システムエンジニアリング,4752,,,,47520
,トスネット,4754,,,,47540
,アルファ,4760,,,,47600
,さくらケーシーエス,4761,,,,47610
,エックスネット,4762,,,,47620
,ピーエイ,4766,,,,47660
,ＩＣ,4769,,,,47690
,エフアンドエム,4771,,,,47710
,ＳＭ　ＥＮＴＥＲＴＡＩＮＭＥＮ,4772,,,,47720
,ガーラ,4777,,,,47770
,ＮＣＤ,4783,,,,47830
,オリコン,4800,,,,48000
,ドリーム・アーツ,4811,,,,48110
,ネクストウェア,4814,,,,48140
,東映アニメーション,4816,,,,48160
,日本エンタープライズ,4829,,,,48290
,ＪＦＥシステムズ,4832,,,,48320
,Ｄｅｆ　ｃｏｎｓｕｌｔｉｎｇ,4833,,,,48330
,スペースシャワーＳＫＩＹＡＫＩ,4838,,,,48380
,トライアイズ,4840,,,,48400
,インテリジェント　ウェイブ,4847,,,,48470
,メディシノバ,4875,,,,48750
,ファンペップ,4881,,,,48810
,ペルセウスプロテオミクス,4882,,,,48820
,モダリス,4883,,,,48830
,クリングルファーマ,4884,,,,48840
,室町ケミカル,4885,,,,48850
,ステラファーマ,4888,,,,48880
,レナサイエンス,4889,,,,48890
,坪田ラボ,4890,,,,48900
,ティムス,4891,,,,48910
,サイフューズ,4892,,,,48920
,ノイルイミューン・バイオ,4893,,,,48930
,クオリプス,4894,,,,48940
,ケイファーマ,4896,,,,48960
,アイビー化粧品,4918,,,,49180
,日本色材工業研究所,4920,,,,49200
,ハーバー研究所,4925,,,,49250
,シーボン,4926,,,,49260
,アジュバンＨＬＤＧ,4929,,,,49290
,アルマード,4932,,,,49320
,プレミアアンチエイジング,4934,,,,49340
,リベルタ,4935,,,,49350
,Ｗａｑｏｏ,4937,,,,49370
,ヤスハラケミカル,4957,,,,49570
,ケミプロ化成,4960,,,,49600
,上村工業,4966,,,,49660
,東洋合成工業,4970,,,,49700
,綜研化学,4972,,,,49720
,東洋ドライルーブ,4976,,,,49760
,新田ゼラチン,4977,,,,49770
,リプロセル,4978,,,,49780
,昭和化学工業,4990,,,,49900
,フマキラー,4998,,,,49980
,富士興産,5009,,,,50090
,日本精蝋,5010,,,,50100
,ビーピー・カストロール,5015,,,,50150
,ＭＯＲＥＳＣＯ,5018,,,,50180
,マーキュリー,5025,,,,50250
,トリプルアイズ,5026,,,,50260
,ＡｎｙＭｉｎｄ　Ｇｒｏｕｐ,5027,,,,50270
,セカンドサイトアナリティカ,5028,,,,50280
,サークレイス,5029,,,,50290
,モイ,5031,,,,50310
,ヌーラボ,5033,,,,50330
,ｕｎｅｒｒｙ,5034,,,,50340
,ＨＯＵＳＥＩ,5035,,,,50350
,日本ビジネスシステムズ,5036,,,,50360
,ｅＷｅＬＬ,5038,,,,50380
,ドラフト,5070,,,,50700
,ヴィス,5071,,,,50710
,セレ,5078,,,,50780
,ノバック,5079,,,,50790
,昭和ＨＬＤＧ,5103,,,,51030
,ファインズ,5125,,,,51250
,ポーターズ,5126,,,,51260
,ＦＩＸＥＲ,5129,,,,51290
,リンカーズ,5131,,,,51310
,ｐｌｕｓｚｅｒｏ,5132,,,,51320
,テリロジーＨＬＤＧ,5133,,,,51330
,ＰＯＰＥＲ,5134,,,,51340
,ｔｒｉｐｌａ,5136,,,,51360
,スマートドライブ,5137,,,,51370
,Ｒｅｂａｓｅ,5138,,,,51380
,オープンワーク,5139,,,,51390
,西川ゴム工業,5161,,,,51610
,朝日ラバー,5162,,,,51620
,ニチリン,5184,,,,51840
,クリエートメディック,5187,,,,51870
,櫻護謨,5189,,,,51890
,相模ゴム工業,5194,,,,51940
,不二ラテックス,5199,,,,51990
,石塚硝子,5204,,,,52040
,日本山村硝子,5210,,,,52100
,倉元製作所,5216,,,,52160
,ノザワ,5237,,,,52370
,ｍｏｎｏＡＩ　ｔｅｃｈｎｏｌｏ,5240,,,,52400
,アイズ,5242,,,,52420
,ｎｏｔｅ,5243,,,,52430
,ｊｉｇ．ｊｐ,5244,,,,52440
,ＥＬＥＭＥＮＴＳ,5246,,,,52460
,ＢＴＭ,5247,,,,52470
,テクノロジーズ,5248,,,,52480
,プライム・ストラテジー,5250,,,,52500
,日本ナレッジ,5252,,,,52520
,カバー,5253,,,,52530
,Ａｒｅｎｔ,5254,,,,52540
,モンスターラボ,5255,,,,52550
,Ｆｕｓｉｃ,5256,,,,52560
,ノバシステム,5257,,,,52570
,トランザクション・メディア・,5258,,,,52580
,ＢＢＤイニシアティブ,5259,,,,52590
,リソルＨＬＤＧ,5261,,,,52610
,旭コンクリート工業,5268,,,,52680
,トーヨーアサノ,5271,,,,52710
,日本興業,5279,,,,52790
,ヨシコン,5280,,,,52800
,ジオスター,5282,,,,52820
,高見澤,5283,,,,52830
,ヤマウＨＬＤＧ,5284,,,,52840
,ヤマックス,5285,,,,52850
,イトーヨーギョー,5287,,,,52870
,ベルテクスコーポレーション,5290,,,,52900
,ＳＥＣカーボン,5304,,,,53040
,ダントーＨＬＤＧ,5337,,,,53370
,ＡＳＡＨＩ　ＥＩＴＯＨＬＤＧ,5341,,,,53410
,日本坩堝,5355,,,,53550
,美濃窯業,5356,,,,53560
,東京窯業,5363,,,,53630
,ニッカトー,5367,,,,53670
,日本インシュレーション,5368,,,,53680
,新東,5380,,,,53800
,Ｍｉｐｏｘ,5381,,,,53810
,鶴弥,5386,,,,53860
,クニミネ工業,5388,,,,53880
,エーアンドエーマテリアル,5391,,,,53910
,北越メタル,5446,,,,54460
,高砂鐵工,5458,,,,54580
,日本高周波鋼業,5476,,,,54760
,東北特殊鋼,5484,,,,54840
,日本金属,5491,,,,54910
,ｐｒｏｐｅｒｔｙ　ｔｅｃｈｎｏ,5527,,,,55270
,リアルゲイト,5532,,,,55320
,エリッツＨＬＤＧ,5533,,,,55330
,ミガロＨＬＤＧ,5535,,,,55350
,新報国マテリアル,5542,,,,55420
,ジェノバ,5570,,,,55700
,エキサイトＨＬＤＧ,5571,,,,55710
,Ｒｉｄｇｅ−ｉ,5572,,,,55720
,ＡＢＥＪＡ,5574,,,,55740
,Ｇｌｏｂｅｅ,5575,,,,55750
,オービーシステム,5576,,,,55760
,アイデミー,5577,,,,55770
,ＡＲアドバンストテクノロジ,5578,,,,55780
,プロディライト,5580,,,,55800
,グリッド,5582,,,,55820
,Ｌａｂｏｒｏ．ＡＩ,5586,,,,55860
,インバウンドプラットフォーム,5587,,,,55870
,ファーストアカウンティング,5588,,,,55880
,オートサーバー,5589,,,,55890
,ネットスターズ,5590,,,,55900
,ＡＶＩＬＥＮ,5591,,,,55910
,くすりの窓口,5592,,,,55920
,ＱＰＳ研究所,5595,,,,55950
,アウトルックコンサルティング,5596,,,,55960
,ブルーイノベーション,5597,,,,55970
,Ｓ＆Ｊ,5599,,,,55990
,虹技,5603,,,,56030
,日本鋳造,5609,,,,56090
,日本鋳鉄管,5612,,,,56120
,雨風太陽,5616,,,,56160
,ナイル,5618,,,,56180
,マーソ,5619,,,,56190
,ヒューマンテクノロジーズ,5621,,,,56210
,メタルアート,5644,,,,56440
,日亜鋼業,5658,,,,56580
,神鋼鋼線工業,5660,,,,56600
,パウダーテック,5695,,,,56950
,サンユウ,5697,,,,56970
,イボキン,5699,,,,56990
,ＪＭＣ,5704,,,,57040
,エス・サイエンス,5721,,,,57210
,アサカ理研,5724,,,,57240
,日本精鉱,5729,,,,57290
,エヌアイシ・オートテック,5742,,,,57420
,日本伸銅,5753,,,,57530
,オーナンバ,5816,,,,58160
,ＪＭＡＣＳ,5817,,,,58170
,カナレ電気,5819,,,,58190
,三ッ星,5820,,,,58200
,ＳＢＩリーシングサービス,5834,,,,58340
,インテグラル,5842,,,,58420
,ニッポンインシュア,5843,,,,58430
,全保連,5845,,,,58450
,アーレスティ,5852,,,,58520
,エルアイイーエイチ,5856,,,,58560
,ＳＴＧ,5858,,,,58580
,エスネットワークス,5867,,,,58670
,ロココ,5868,,,,58680
,早稲田学習研究会,5869,,,,58690
,ナルネットコミュニケーションズ,5870,,,,58700
,ＳＯＬＩＺＥ　ＨＬＤＧ,5871,,,,58710
,クラダシ,5884,,,,58840
,ジーデップ・アドバンス,5885,,,,58850
,ＤＡＩＷＡ　ＣＹＣＬＥ,5888,,,,58880
,Ｊａｐａｎ　Ｅｙｅｗｅａｒ　Ｈ,5889,,,,58890
,魁力屋,5891,,,,58910
,ｙｕｔｏｒｉ,5892,,,,58920
,ダイケン,5900,,,,59000
,シンポ,5903,,,,59030
,日本製罐,5905,,,,59050
,エムケー精工,5906,,,,59060
,駒井ハルテック,5915,,,,59150
,瀧上工業,5918,,,,59180
,川岸工業,5921,,,,59210
,那須電機鉄工,5922,,,,59220
,高田機工,5923,,,,59230
,アルメタックス,5928,,,,59280
,東洋シヤッター,5936,,,,59360
,大谷工業,5939,,,,59390
,不二サッシ,5940,,,,59400
,中西製作所,5941,,,,59410
,日本フイルコン,5942,,,,59420
,天龍製鋸,5945,,,,59450
,日本パワーファスニング,5950,,,,59500
,ダイニチ工業,5951,,,,59510
,アマテイ,5952,,,,59520
,ワイズＨＬＤＧ,5955,,,,59550
,トーソー,5956,,,,59560
,三洋工業,5958,,,,59580
,浅香工業,5962,,,,59620
,フジマック,5965,,,,59650
,京都機械工具,5966,,,,59660
,ＴＯＮＥ,5967,,,,59670
,ロブテックス,5969,,,,59690
,共和工業所,5971,,,,59710
,トーアミ,5973,,,,59730
,中国工業,5974,,,,59740
,マルゼン,5982,,,,59820
,イワブチ,5983,,,,59830
,兼房,5984,,,,59840
,モリテック　スチール,5986,,,,59860
,オーネックス,5987,,,,59870
,スーパーツール,5990,,,,59900
,ファインシンター,5994,,,,59940
,協立エアテック,5997,,,,59970
,アドバネクス,5998,,,,59980
,ジャパンエンジン,6016,,,,60160
,阪神内燃機工業,6018,,,,60180
,赤阪鐵工所,6022,,,,60220
,ダイハツインフィニアース,6023,,,,60230
,ＧＭＯ　ＴＥＣＨ,6026,,,,60260
,弁護士ドットコム,6027,,,,60270
,アトラグループ,6029,,,,60290
,アドベンチャー,6030,,,,60300
,ＺＥＴＡ,6031,,,,60310
,エクストリーム,6033,,,,60330
,ＭＲＴ,6034,,,,60340
,楽待,6037,,,,60370
,イード,6038,,,,60380
,日本動物高度医療センター,6039,,,,60390
,日本スキー場開発,6040,,,,60400
,ニッキ,6042,,,,60420
,三機サービス,6044,,,,60440
,レントラックス,6045,,,,60450
,リンクバル,6046,,,,60460
,デザインワン・ジャパン,6048,,,,60480
,イトクロ,6049,,,,60490
,リブセンス,6054,,,,60540
,ウチヤマＨＬＤＧ,6059,,,,60590
,こころネット,6060,,,,60600
,ユニバーサル園芸社,6061,,,,60610
,日本エマージェンシーアシスタン,6063,,,,60630
,トレンダーズ,6069,,,,60690
,地盤ネットＨＬＤＧ,6072,,,,60720
,ジェイエスエス,6074,,,,60740
,アライドアーキテクツ,6081,,,,60810
,ＥＲＩ　ＨＬＤＧ,6083,,,,60830
,アーキテクツ・スタジオ・ジャパ,6085,,,,60850
,シンメンテＨＬＤＧ,6086,,,,60860
,アビスト,6087,,,,60870
,ヒューマン・メタボローム・テク,6090,,,,60900
,ウエスコＨＬＤＧ,6091,,,,60910
,エンバイオＨＬＤＧ,6092,,,,60920
,エスクロー・エージェント・ジャ,6093,,,,60930
,フリークアウトＨＬＤＧ,6094,,,,60940
,レアジョブ,6096,,,,60960
,岡本工作機械製作所,6125,,,,61250
,小池酸素工業,6137,,,,61370
,ダイジェット工業,6138,,,,61380
,西部電機,6144,,,,61440
,ＮＩＴＴＯＫＵ,6145,,,,61450
,ヤマザキ,6147,,,,61470
,小田原エンジニアリング,6149,,,,61490
,タケダ機械,6150,,,,61500
,高松機械工業,6155,,,,61550
,エーワン精密,6156,,,,61560
,和井田製作所,6158,,,,61580
,ミクロン精密,6159,,,,61590
,エスティック,6161,,,,61610
,パンチ工業,6165,,,,61650
,中村超硬,6166,,,,61660
,土木管理総合試験所,6171,,,,61710
,アクアライン,6173,,,,61730
,ブランジスタ,6176,,,,61760
,ＡｐｐＢａｎｋ,6177,,,,61770
,ＧＭＯメディア,6180,,,,61800
,タメニー,6181,,,,61810
,メタリアル,6182,,,,61820
,ＳＭＮ,6185,,,,61850
,一蔵,6186,,,,61860
,グローバルキッズＣＯＭＰＡＮＹ,6189,,,,61890
,フェニックスバイオ,6190,,,,61900
,バーチャレクスＨＬＤＧ,6193,,,,61930
,ホープ,6195,,,,61950
,キャリア,6198,,,,61980
,豊和工業,6203,,,,62030
,石川製作所,6208,,,,62080
,ＴＯＹＯイノベックス,6210,,,,62100
,津田駒工業,6217,,,,62170
,エンシュウ,6218,,,,62180
,西部技研,6223,,,,62230
,ＪＲＣ,6224,,,,62240
,守谷輸送機工業,6226,,,,62260
,ＡＩメカテック,6227,,,,62270
,ジェイ・イー・ティ,6228,,,,62280
,オーケーエム,6229,,,,62290
,ＳＡＮＥＩ,6230,,,,62300
,木村工機,6231,,,,62310
,ＡＣＳＬ,6232,,,,62320
,ＫＬＡＳＳ,6233,,,,62330
,ナガオカ,6239,,,,62390
,ヒラノテクシード,6245,,,,62450
,テクノスマート,6246,,,,62460
,横田製作所,6248,,,,62480
,ゲームカード・ジョイコＨＬＤＧ,6249,,,,62490
,エヌ・ピー・シー,6255,,,,62550
,藤商事,6257,,,,62570
,コンバム,6265,,,,62650
,ゼネラルパッカー,6267,,,,62670
,シリウスビジョン,6276,,,,62760
,靜甲,6286,,,,62860
,カワタ,6292,,,,62920
,オカダアイヨン,6294,,,,62940
,鉱研工業,6297,,,,62970
,サンセイ,6307,,,,63070
,フロイント産業,6312,,,,63120
,丸山製作所,6316,,,,63160
,タクミナ,6322,,,,63220
,ハーモニック・ドライブ・システ,6324,,,,63240
,タカキタ,6325,,,,63250
,北川精機,6327,,,,63270
,明治機械,6334,,,,63340
,東京機械製作所,6335,,,,63350
,石井表記,6336,,,,63360
,テセック,6337,,,,63370
,タカトリ,6338,,,,63380
,太平製作所,6342,,,,63420
,フリージア・マクロス,6343,,,,63430
,キクカワエンタープライズ,6346,,,,63460
,プラコー,6347,,,,63470
,日本ギア工業,6356,,,,63560
,三精テクノロジーズ,6357,,,,63570
,東京自働機械製作所,6360,,,,63600
,電業社機械製作所,6365,,,,63650
,千代田化工建設,6366,,,,63660
,大同工業,6373,,,,63730
,オリエンタルチエン工業,6380,,,,63800
,トリニティ工業,6382,,,,63820
,昭和真空,6384,,,,63840
,加藤製作所,6390,,,,63900
,加地テック,6391,,,,63910
,ヤマダコーポレーション,6392,,,,63920
,油研工業,6393,,,,63930
,宇野澤組鐵工所,6396,,,,63960
,不二精機,6400,,,,64000
,兼松エンジニアリング,6402,,,,64020
,水道機工,6403,,,,64030
,鈴茂器工,6405,,,,64050
,小倉クラッチ,6408,,,,64080
,中野冷機,6411,,,,64110
,桂川電機,6416,,,,64160
,高見沢サイバネティックス,6424,,,,64240
,ユニバーサルエンターテインメン,6425,,,,64250
,オーイズミ,6428,,,,64280
,ヒーハイスト,6433,,,,64330
,サンデン,6444,,,,64440
,ＴＶＥ,6466,,,,64660
,ニチダイ,6467,,,,64670
,放電精密加工研究所,6469,,,,64690
,ＫＶＫ,6484,,,,64840
,ヨシタケ,6488,,,,64880
,前澤工業,6489,,,,64890
,岡野バルブ製造,6492,,,,64920
,ＮＩＴＴＡＮ,6493,,,,64930
,ＮＦＫ　ＨＬＤＧ,6494,,,,64940
,宮入バルブ製作所,6495,,,,64950
,中北製作所,6496,,,,64960
,ハマイ,6497,,,,64970
,東洋電機製造,6505,,,,65050
,オリジン,6513,,,,65130
,三相電機,6518,,,,65180
,オキサイド,6521,,,,65210
,アスタリスク,6522,,,,65220
,湖北工業,6524,,,,65240
,ＷＡＳＨハウス,6537,,,,65370
,ディスラプターズ,6538,,,,65380
,船場,6540,,,,65400
,ＦＣ　ＨＬＤＧ,6542,,,,65420
,日宣,6543,,,,65430
,インターネットインフィニティー,6545,,,,65450
,フルテック,6546,,,,65460
,グリーンズ,6547,,,,65470
,旅工房,6548,,,,65480
,ディーエムソリューションズ,6549,,,,65490
,ツナググループＨＬＤＧ,6551,,,,65510
,ＧａｍｅＷｉｔｈ,6552,,,,65520
,エスユーエス,6554,,,,65540
,ＭＳ＆Ｃｏｎｓｕｌｔｉｎｇ,6555,,,,65550
,ＡＩＡＩグループ,6557,,,,65570
,クックビズ,6558,,,,65580
,ＨＡＮＡＴＯＵＲ　ＪＡＰＡＮ,6561,,,,65610
,ジーニー,6562,,,,65620
,みらいワークス,6563,,,,65630
,ＡＢホテル,6565,,,,65650
,要興業,6566,,,,65660
,神戸天然物化学,6568,,,,65680
,共和コーポレーション,6570,,,,65700
,アジャイルメディア・ネットワー,6573,,,,65730
,コンヴァノ,6574,,,,65740
,ベストワンドットコム,6577,,,,65770
,コレックＨＬＤＧ,6578,,,,65780
,ログリー,6579,,,,65790
,ライトアップ,6580,,,,65800
,ＨＰＣシステムズ,6597,,,,65970
,エブレン,6599,,,,65990
,バルミューダ,6612,,,,66120
,ＱＤレーザ,6613,,,,66130
,シキノハイテック,6614,,,,66140
,ＪＡＬＣＯ　ＨＬＤＧ,6625,,,,66250
,ＳＥＭＩＴＥＣ,6626,,,,66260
,テラプローブ,6627,,,,66270
,テクノホライゾン,6629,,,,66290
,ＣＧＳ　ＨＬＤＧ,6633,,,,66330
,ネクスグループ,6634,,,,66340
,大日光・エンジニアリング,6635,,,,66350
,寺崎電気産業,6637,,,,66370
,戸上電機製作所,6643,,,,66430
,森尾電機,6647,,,,66470
,かわでん,6648,,,,66480
,正興電機製作所,6653,,,,66530
,不二電機工業,6654,,,,66540
,インスペック,6656,,,,66560
,シライ電子工業,6658,,,,66580
,メディアリンクス,6659,,,,66590
,ユビテック,6662,,,,66620
,太洋テクノレックス,6663,,,,66630
,オプトエレクトロニクス,6664,,,,66640
,リバーエレテック,6666,,,,66660
,アドテックプラズマテクノロジー,6668,,,,66680
