date,銘柄名,コード,業種,TOPIXに占める個別銘柄のウエイト,ニューインデックス区分,code
,Ｂ―Ｒ　サーティワン　アイス,2268,,,,22680
,林兼産業,2286,,,,22860
,オプロ,228A,,,,228A0
,福留ハム,2291,,,,22910
,滝沢ハム,2293,,,,22930
,きょくとう,2300,,,,23000
,ドーン,2303,,,,23030
,ＣＳＳ　ＨＬＤＧ,2304,,,,23040
,エプコ,2311,,,,23110
,ＣＡＩＣＡ　ＤＩＧＩＴＡＬ,2315,,,,23150
,ソフトフロントＨＬＤＧ,2321,,,,23210
,ｆｏｎｆｕｎ,2323,,,,23230
,東北新社,2329,,,,23290
,フォーサイド,2330,,,,23300
,クエスト,2332,,,,23320
,イオレ,2334,,,,23340
,クオンタムソリューションズ,2338,,,,23380
,極楽湯ＨＬＤＧ,2340,,,,23400
,アルバイトタイムス,2341,,,,23410
,トランスジェニックグループ,2342,,,,23420
,平安レイサービス,2344,,,,23440
,クシム,2345,,,,23450
,エヌアイデイ,2349,,,,23490
,ＡＳＪ,2351,,,,23510
,ＹＥ　ＤＩＧＩＴＡＬ,2354,,,,23540
,メディネット,2370,,,,23700
,ケア２１,2373,,,,23730
,ギグワークス,2375,,,,23750
,サイネックス,2376,,,,23760
,総医研ＨＬＤＧ,2385,,,,23850
,ウェッジＨＬＤＧ,2388,,,,23880
,プラネット,2391,,,,23910
,日本ケアサプライ,2393,,,,23930
,鉄人化ＨＬＤＧ,2404,,,,24040
,ＫＧ情報,2408,,,,24080
,キャリアデザインセンター,2410,,,,24100
,ゲンダイエージェンシー,2411,,,,24110
,ヒューマンＨＬＤＧ,2415,,,,24150
,ツカダ・グローバルＨＬＤＧ,2418,,,,24180
,ＲＯＸＸ,241A,,,,241A0
,ブラス,2424,,,,24240
,ケアサービス,2425,,,,24250
,ウェルネット,2428,,,,24280
,シダー,2435,,,,24350
,共同ピーアール,2436,,,,24360
,Ｓｈｉｎｗａ　Ｗｉｓｅ　ＨＬＤ,2437,,,,24370
,アスカネット,2438,,,,24380
,プラップジャパン,2449,,,,24490
,グロースエクスパートナーズ,244A,,,,244A0
,オールアバウト,2454,,,,24540
,アウンコンサルティング,2459,,,,24590
,ＩＮＧＳ,245A,,,,245A0
,Ａｏｂａ−ＢＢＴ,2464,,,,24640
,ヒビノ,2469,,,,24690
,アスア,246A,,,,246A0
,ジェイテック,2479,,,,24790
,Ａｉロボティクス,247A,,,,247A0
,システム・ロケーション,2480,,,,24800
,タウンニュース社,2481,,,,24810
